Core	B_Band	Mass	Rc_Index Type
42.7	44.7	8.8	3.14	RLQ
43	44.8	8.3	3.35	RLQ
42.4	45	8.7	2.57	RLQ
41.7	45.1	9	1.74	RLQ
38.4	42.9	6.8	0.6	SG-LINERS
39.7	44.9	7.9	-0.05	SG-LINERS
38.4	42.2	7.3	1.38	SG-LINERS
38.8	42.2	7.2	1.74	SG-LINERS
38.6	44.7	8.3	-1.02	SG-LINERS
37.8	43.6	7.7	-0.62	SG-LINERS
36.6	38.9	7.6	2.81	SG-LINERS
38.4	43.4	6.7	0.17	SG-LINERS
36.9	40.3	7.8	1.73	SG-LINERS
36.3	42	7.6	-0.56	SG-LINERS
37.2	42.5	7.4	-0.16	SG-LINERS
37	42.6	7.5	-0.46	SG-LINERS
38.1	43.2	7	-0.01	SG-LINERS
36.5	40.3	6.1	1.31	SG-LINERS
38	40.8	8.7	2.3	SG-LINERS
36.5	41.6	6.1	0.08	SG-LINERS
36.8	43.3	7.2	-1.38	SG-LINERS
37	39.8	7.9	2.33	SG-LINERS
38.3	42.3	6.6	1.11	SG-LINERS
35.7	38.8	7.6	2.07	SG-LINERS
36.9	40.8	6.8	1.26	SG-LINERS
36.2	39.7	7.7	1.64	SG-LINERS
37.5	40.7	7.9	1.96	SG-LINERS
37.2	42.7	6.9	-0.4	SG-LINERS
35.6	40	6.6	0.7	SG-LINERS
36.8	41.4	7.5	0.52	SG-LINERS
38.8	41.3	8	2.59	SG-LINERS
36.4	41	6.5	0.57	SG-LINERS
38.8	43.3	6.7	0.67	SG-LINERS
38.4	43.9	7.6	-0.41	SG-LINERS
37.9	42.6	8.1	0.48	SG-LINERS
38.5	43.2	7.6	0.45	SG-LINERS
38	42.9	8.1	0.21	SG-LINERS
37.5	42.9	7.7	-0.27	SG-LINERS
37.3	42.1	7.6	0.33	SG-LINERS
38.5	44.6	7.8	-0.97	SG-LINERS
38.6	42.8	6.8	0.94	SG-LINERS
38.7	42.1	8.1	1.69	SG-LINERS
40.3	41.3	9.1	4.16	FRI
40.2	41	8.9	4.38	FRI
39.5	40.9	8.6	3.7	FRI
37.6	39.5	9	3.25	FRI
39.5	40.5	7.9	4.11	FRI
38.4	40.2	8.7	3.29	FRI
39.8	41.5	8.5	3.46	FRI
40.9	42.5	8.9	3.51	FRI
39.2	40.2	8.8	4.1	FRI
42.1	42.9	9.1	4.35	FRI
41	40.9	8.6	5.28	FRI
40	42	8.3	3.11	FRI
39.3	39.4	8.6	4.99	FRI
38.7	40	8.2	3.85	FRI
39.7	41	9.5	3.86	FRI
37.8	39.3	8.6	3.68	FRI
41.4	42	8.9	4.51	FRI
39.7	40.5	8.8	4.32	FRI
40.4	41.4	8	4.25	FRI
40.6	41.4	9.5	4.36	FRI
40	41.2	9.1	3.97	FRI
41.8	43.1	8.8	3.87	FRI
40.6	41.6	8.9	4.15	FRI
40.5	41.7	8.3	3.96	FRI
41.2	41.9	8.6	4.41	FRI
38.2	40	8	3.32	FRI
39.1	41	8	3.27	FRI
38.3	39.8	9	3.67	FRI
40.4	41.5	8.6	4.06	FRI
41.1	44.3	8.3	1.98	PGQs
38.9	45.2	7.6	-1.21	PGQs
38.9	44.7	7.3	-0.67	PGQs
39.1	45.1	8.4	-0.87	PGQs
40.3	45.2	8	0.2	PGQs
39.1	44.8	8.2	-0.61	PGQs
38.1	44.9	7.4	-1.64	PGQs
39.1	45	8.9	-0.74	PGQs
38.8	43.8	7	0.11	PGQs
39.5	45.7	8.2	-1.06	PGQs
39.5	45.1	8.1	-0.47	PGQs
39.7	45.7	9.1	-0.9	PGQs
42	45.6	9.1	1.49	PGQs
42.4	45.8	9.3	1.69	PGQs
38.7	44.8	8.4	-0.94	PGQs
39.9	45.3	8.5	-0.3	PGQs
37.9	44.4	7.2	-1.37	PGQs
39.3	45.3	8.1	-0.83	PGQs
38.8	44.9	7.5	-0.97	PGQs
40.8	45.7	9.2	0.27	PGQs
38.3	44.6	8.6	-1.13	PGQs
38.1	43.8	6.3	-0.55	PGQs
39.9	46	9	-1	PGQs
39	45.2	7.9	-1.07	PGQs
41.3	45.3	8.2	1.16	PGQs
40.2	44.6	8.5	0.77	PGQs
38.9	45	8.3	-1	PGQs
39	45.1	7.3	-0.92	PGQs
38.7	44.8	7.6	-0.98	PGQs
38.6	44.7	7.8	-0.96	PGQs
39.2	44.9	8.5	-0.56	PGQs
38.9	44.7	7.9	-0.63	PGQs
38.7	44.6	7.3	-0.75	PGQs
39.1	45.4	8.2	-1.12	PGQs
38.2	43.6	7.4	-0.22	PGQs
41.5	45.4	9.1	1.22	PGQs
39.2	44.9	8.6	-0.57	PGQs
39.2	44.8	7.9	-0.45	PGQs
40.3	45.7	8.3	-0.22	PGQs
38.7	44.6	7.7	-0.8	PGQs
40.8	44.2	8.5	1.75	PGQs
41.1	45.5	9	0.76	PGQs
42.3	45.8	9.6	1.66	PGQs
