Radio	B_Band	Mass	R_Index	Type
39.2	44.7	8.3	-0.36	SG-LINERS
38.8	43.6	7.7	0.35	SG-LINERS
36.4	38.9	7.6	2.62	SG-LINERS
38.9	43.4	6.7	0.64	SG-LINERS
37.1	40.3	7.8	2.01	SG-LINERS
38	42	7.6	1.16	SG-LINERS
38	42.5	7.4	0.71	SG-LINERS
37.9	42.6	7.5	0.45	SG-LINERS
38.4	43.2	7	0.34	SG-LINERS
37.7	40.3	6.1	2.53	SG-LINERS
38	40.8	8.7	2.42	SG-LINERS
37.4	41.6	6.1	0.93	SG-LINERS
38.5	43.3	7.2	0.43	SG-LINERS
36.7	39.8	7.9	2	SG-LINERS
38.4	42.3	6.6	1.32	SG-LINERS
38	38.8	7.6	4.34	SG-LINERS
38	40.8	6.8	2.33	SG-LINERS
37.6	39.7	7.7	3.04	SG-LINERS
38	40.7	7.9	2.45	SG-LINERS
37.4	42.7	6.9	-0.13	SG-LINERS
37.1	40	6.6	2.29	SG-LINERS
38	41.4	7.5	1.72	SG-LINERS
39	41.3	8	2.83	SG-LINERS
36.8	41	6.5	0.95	SG-LINERS
39	43.3	6.7	0.81	SG-LINERS
38.9	43.9	7.6	0.18	SG-LINERS
38.7	42.6	8.1	1.25	SG-LINERS
38.8	43.2	7.6	0.76	SG-LINERS
39	42.9	8.1	1.26	SG-LINERS
38.7	42.9	7.7	0.99	SG-LINERS
38.4	42.1	7.6	1.41	SG-LINERS
39.2	44.6	7.8	-0.34	SG-LINERS
39.3	42.8	6.8	1.72	SG-LINERS
39	42.1	8.1	2.02	SG-LINERS
41.7	41.3	9.1	5.51	FRI
40.5	41	8.9	4.55	FRI
40.6	40.9	8.6	4.76	FRI
39.2	39.5	9	4.86	FRI
40.8	40.5	7.9	5.46	FRI
40	40.2	8.7	4.96	FRI
41	41.5	8.5	4.63	FRI
41.5	42.5	8.9	4.13	FRI
41.3	40.2	8.8	6.3	FRI
42.2	42.9	9.1	4.42	FRI
42.3	40.9	8.6	6.52	FRI
41.1	42	8.3	4.18	FRI
40.5	39.4	8.6	6.2	FRI
39.6	40	8.2	4.73	FRI
41	41	9.5	5.12	FRI
39.7	39.3	8.6	5.52	FRI
42.9	42	8.9	6.11	FRI
40.9	40.5	8.8	5.52	FRI
41.6	41.4	8	5.52	FRI
41.1	41.4	9.5	4.88	FRI
40.7	41.2	9.1	4.65	FRI
42.7	43.1	8.8	4.74	FRI
43.5	41.6	8.9	7.03	FRI
42.2	41.7	8.3	5.68	FRI
43.3	41.9	8.6	6.58	FRI
40.8	40	8	5.89	FRI
40.3	41	8	4.47	FRI
39.5	39.8	9	4.85	FRI
41.3	41.5	8.6	5.02	FRI
41.5	44.3	8.3	2.29	PGQs
40.1	45.2	7.6	0.03	PGQs
39.1	44.7	7.3	-0.48	PGQs
39.4	45.1	8.4	-0.62	PGQs
40.5	45.2	8	0.33	PGQs
39.5	44.8	8.2	-0.22	PGQs
38.2	44.9	7.4	-1.56	PGQs
39.1	45	8.9	-0.84	PGQs
39	43.8	7	0.32	PGQs
40.2	45.7	8.2	-0.36	PGQs
39.7	45.1	8.1	-0.3	PGQs
40	45.7	9.1	-0.6	PGQs
43	45.6	9.1	2.51	PGQs
43.2	45.8	9.3	2.44	PGQs
38.8	44.8	8.4	-0.89	PGQs
40.1	45.3	8.5	-0.14	PGQs
38.4	44.4	7.2	-0.82	PGQs
39.5	45.3	8.1	-0.73	PGQs
38.9	44.9	7.5	-0.9	PGQs
40.8	45.7	9.2	0.22	PGQs
38.5	44.6	8.6	-0.97	PGQs
38.4	43.8	6.3	-0.28	PGQs
39.1	46	9	-1.86	PGQs
39	45.2	7.9	-1	PGQs
41.4	45.3	8.2	1.26	PGQs
40.1	44.6	8.5	0.64	PGQs
38.9	45	8.3	-0.97	PGQs
39.4	45.1	7.3	-0.64	PGQs
38.8	44.8	7.6	-0.87	PGQs
38.8	44.7	7.8	-0.76	PGQs
39.9	44.9	8.5	0.06	PGQs
39	44.7	7.9	-0.55	PGQs
39.1	44.6	7.3	-0.44	PGQs
39.2	45.4	8.2	-1.07	PGQs
38.3	43.6	7.4	-0.16	PGQs
42.9	45.4	9.1	2.62	PGQs
39.8	44.9	8.6	0	PGQs
39.3	44.8	7.9	-0.38	PGQs
41	45.7	8.3	0.37	PGQs
39	44.6	7.7	-0.5	PGQs
41.2	44.2	8.5	2.15	PGQs
