
Rmag	          Bmag	  (B-R)	Speak	Sint
1.241795431	1.259832699	0.74	1.57	1.61
1.217483944	1.241795431	0.96	46.17	48.36
1.23578087	1.273695588	1.57	2.05	1.79
1.239299479	1.247973266	0.35	107.68	108.99
1.194791758	1.235528447	1.53	5.33	5.42
1.217220656	1.234264124	0.66	1.69	1.92
1.219060332	1.235023159	0.62	3.03	2.82
1.248218561	1.253095586	0.21	10.87	10.31
1.250175948	1.271841607	0.91	1.9	1.7
1.238297068	1.254789687	0.67	20.08	22.77
1.246005904	1.264109156	0.76	1.14	0.88
1.249198357	1.252610341	0.14	25.67	26.01
1.244277121	1.261262869	0.7	15.32	17.27
1.236789099	1.237292338	0.02	2.25	1.94
1.248463718	1.259354927	0.45	7.75	7.17
1.238798563	1.24674471	0.32	2.39	2.21
1.247973266	1.258876629	0.45	10.44	10.57
1.249931757	1.258158193	0.35	11.81	11.75
1.231979027	1.238297068	0.24	90.58	92.75
1.240549248	1.260071388	0.8	100.54	100.76
1.219584526	1.219060332	-0.02	1.09	0.9
1.232487866	1.259832699	1.11	12.64	12.87
1.213517757	1.223495941	0.38	10.06	10.02
1.239049093	1.255995727	0.69	24.72	38.13
1.212187604	1.23350376	0.83	1.14	1.1
1.209246849	1.223236273	0.53	2.18	1.86
1.231979027	1.241795431	0.39	12.85	13.17
1.235528447	1.25163822	0.66	1.73	1.39
1.246252312	1.274157849	1.16	150.88	156.62
1.243286146	1.255754787	0.51	1.11	1.77
1.241297387	1.25358029	0.5	6.21	6
1.241546481	1.224014811	-0.69	20.7	20.54
1.200029267	1.208172527	0.3	1.86	2.09
1.24674471	1.243038049	-0.15	11.37	10.92
1.188928484	1.208978517	0.73	2	2.72
1.245265839	1.249687428	0.18	1.07	0.85
1.233757363	1.245265839	0.45	16.15	17.82
1.220892249	1.234010818	0.51	9.73	9.58
1.2219356	1.23299611	0.44	3.34	2.89
1.242541428	1.247482261	0.2	1.28	0.96
1.23578087	1.234010818	-0.07	306.09	847.49
1.237794993	1.238547888	0.03	30.31	31.21
1.194236749	1.205745541	0.42	5.38	4.89
1.204119983	1.223495941	0.72	1.66	1.27
1.245018871	1.261738547	0.68	1.15	1.66
1.216693599	1.234264124	0.67	1.91	1.81
1.232233521	1.240798771	0.34	2.33	2.17
1.232233521	1.242541428	0.41	13.98	14.36
1.23146959	1.241795431	0.41	100.26	101.5
1.168497484	1.200303183	1.12	2.74	1.78
1.218535505	1.245018871	1.04	34.77	37.12
1.228400359	1.241297387	0.52	294.5	303.72
1.2219356	1.229937686	0.31	48.24	51.3
